load,539c4c74d08b181d,,,,,,,loaded in 7356ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,735,272,1032,5188.6720000000005,14.67971361301194,,
completion,539c4c74d08b181d,768,285,536,3750.52,16.480445828036633,,
completion,539c4c74d08b181d,370,142,630,1715.294,16.174129341482903,,
load,539c4c74d08b181d,,,,,,,loaded in 11863ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,735,272,654,4899.187,15.987427135284065,,
completion,539c4c74d08b181d,360,153,1073,1706.105,12.448806169929986,,
completion,539c4c74d08b181d,904,350,610,5073.601,12.513229149965264,,
completion,539c4c74d08b181d,776,269,1158,3996.422,11.538911321453662,,
completion,539c4c74d08b181d,726,269,1333,3690.33,13.830890111264269,,
completion,539c4c74d08b181d,686,246,933,4140.8330000000005,12.912701281748221,,
load,539c4c74d08b181d,,,,,,,loaded in 16885ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,825,267,1012,3590.275,6.587975126540062,,
completion,539c4c74d08b181d,735,272,677,8948.876,4.819299579229588,,
completion,539c4c74d08b181d,416,168,394,4398.4490000000005,7.05767664115209,,
completion,539c4c74d08b181d,721,257,911,5557.041,6.762515086402859,,
completion,539c4c74d08b181d,904,350,908,7705.536,7.2876429209710745,,
completion,539c4c74d08b181d,714,251,971,5413.71,6.051717365827411,,
completion,539c4c74d08b181d,747,264,1026,5538.969,6.966555563006466,,
completion,539c4c74d08b181d,776,269,1301,8008.968,5.765758981533497,,
load,539c4c74d08b181d,,,,,,,loaded in 24464ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,729,270,888,5490.731,4.98157725217949,,
completion,539c4c74d08b181d,888,350,690,15620.244,1.0677002863725358,,
completion,539c4c74d08b181d,735,272,783,11691.958,1.1510441517677439,,
completion,539c4c74d08b181d,726,269,1402,5531.475,1.4986585696346173,,
load,539c4c74d08b181d,,,,,,,loaded in 11189ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,735,272,1242,6465.8910000000005,5.126916974174015,,
completion,539c4c74d08b181d,383,144,505,3490.955,7.189942520467239,,
completion,539c4c74d08b181d,349,156,687,8003.977,0.9715578723868578,,
load,539c4c74d08b181d,,,,,,,loaded in 10906ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,921,363,922,13051.911,0.9042794318933319,,
json-parse-fail,,,,,,,,askJson returned empty after retry
completion,539c4c74d08b181d,686,246,757,8624.075,0.8292028343099285,,
load,539c4c74d08b181d,,,,,,,loaded in 12502ms from /home/anand0x/projects/hackathons/qvac/models/medpsy-1.7b-q4_k_m-imat.gguf
completion,539c4c74d08b181d,735,272,927,8130.203,7.266864408995874,,
completion,539c4c74d08b181d,387,147,520,2399,14.617674032896794,,
completion,539c4c74d08b181d,904,350,844,6588.494,13.391292029934553,,
unload,539c4c74d08b181d,,,,,,,
